"country","HDI","lifeExp","expEdu","meanEdu","GNIC_log","GNICr_HDIr","GII","matMort_log","adolBirthRate_log","reprParl","edu2F","edu2M","labF","labM","eduRatio","labRatio"
"Norway",0.944,81.6,17.5,12.6,4.81285990172471,5,0.067,0.602059991327962,0.89209460269048,39.6,97.4,96.7,61.2,68.7,1.00723888314374,0.890829694323144
"Australia",0.935,82.4,20.2,13,4.62593976932168,17,0.11,0.778151250383644,1.08278537031645,30.5,94.3,94.6,58.8,71.8,0.996828752642706,0.818941504178273
"Switzerland",0.93,83,15.8,12.8,4.75151774636492,6,0.028,0.778151250383644,0.278753600952829,28.5,95,96.6,61.8,74.9,0.98343685300207,0.825100133511348
"Denmark",0.923,80.2,18.7,12.7,4.64369936463931,11,0.048,0.698970004336019,0.707570176097936,38,95.5,96.6,58.7,66.4,0.988612836438924,0.884036144578313
"Netherlands",0.922,81.6,17.9,11.9,4.65739053238854,9,0.062,0.778151250383644,0.792391689498254,36.9,87.7,90.5,58.5,70.6,0.969060773480663,0.828611898016997
"Germany",0.916,80.9,16.5,13.1,4.64265244302159,11,0.041,0.845098040014257,0.57978359661681,36.9,96.3,97,53.6,66.4,0.992783505154639,0.807228915662651
"Ireland",0.916,80.9,18.6,12.2,4.59734409901722,16,0.113,0.954242509439325,0.913813852383717,19.9,80.5,78.6,53.1,68.1,1.02417302798982,0.779735682819383
"United States",0.915,79.1,16.5,12.9,4.72384135782677,3,0.28,1.44715803134222,1.49136169383427,19.4,95.1,94.8,56.3,68.9,1.00316455696203,0.817126269956459
"Canada",0.913,82,15.9,13,4.62484909363752,11,0.129,1.04139268515823,1.16136800223497,28.2,100,100,61.6,71,1,0.867605633802817
"New Zealand",0.913,81.8,19.2,12.5,4.51440163513758,23,0.157,0.903089986991944,1.40312052117582,31.4,95,95.3,62,73.8,0.99685204616999,0.840108401084011
"Singapore",0.912,83,15.4,10.6,4.88438749056649,-7,0.088,0.778151250383644,0.778151250383644,25.3,74.1,81,58.8,77.2,0.914814814814815,0.761658031088083
"Sweden",0.907,82.2,15.8,12.1,4.65930757145921,-1,0.055,0.602059991327962,0.812913356642856,43.6,86.5,87.3,60.3,67.9,0.990836197021764,0.888070692194403
"United Kingdom",0.907,80.7,16.2,13.1,4.59402772242615,9,0.177,0.903089986991944,1.41161970596323,23.5,99.8,99.9,55.7,68.7,0.998998998998999,0.810771470160116
"Iceland",0.899,82.6,19,10.6,4.54632052427081,12,0.087,0.602059991327962,1.06069784035361,41.3,91,91.6,70.5,77.4,0.993449781659389,0.910852713178295
"Korea (Republic of)",0.898,81.9,16.9,11.9,4.53007156883738,13,0.125,1.43136376415899,0.342422680822206,16.3,77,89.1,50.1,72.1,0.864197530864198,0.694868238557559
"Israel",0.894,82.4,16,12.5,4.48679872909759,16,0.101,0.301029995663981,0.89209460269048,22.5,84.4,87.3,57.9,69.1,0.966781214203895,0.837916063675832
"Luxembourg",0.892,81.7,13.9,11.7,4.76871947759761,-11,0.1,1.04139268515823,0.919078092376074,28.3,100,100,50.7,64.6,1,0.784829721362229
"Japan",0.891,83.5,15.3,11.5,4.56734402640624,7,0.133,0.778151250383644,0.732393759822969,11.6,87,85.8,48.8,70.4,1.01398601398601,0.693181818181818
"Belgium",0.89,80.8,16.3,11.3,4.61476015974242,0,0.063,0.778151250383644,0.826074802700826,42.4,77.5,82.9,47.5,59.3,0.934861278648975,0.801011804384486
"France",0.888,82.2,16,11.1,4.58042313841185,4,0.088,1.07918124604762,0.755874855672491,25.7,78,83.2,50.7,61.6,0.9375,0.823051948051948
"Austria",0.885,81.4,15.7,10.8,4.64215773471423,-5,0.053,0.602059991327962,0.612783856719735,30.3,100,100,54.6,67.7,1,0.806499261447563
"Finland",0.883,80.8,17.1,10.3,4.58765485099572,0,0.075,0.602059991327962,0.963787827345555,42.5,100,100,55.7,64,1,0.8703125
"Slovenia",0.88,80.4,16.8,11.9,4.44485638650354,12,0.016,0.845098040014257,-0.221848749616356,27.7,95.8,98,52.3,63.2,0.977551020408163,0.82753164556962
"Spain",0.876,82.6,17.3,9.6,4.50576027592009,7,0.095,0.602059991327962,1.02530586526477,38,66.8,73.1,52.5,65.8,0.913816689466484,0.797872340425532
"Italy",0.873,83.1,16,10.1,4.51890857369141,4,0.068,0.602059991327962,0.602059991327962,30.1,71.2,80.5,39.6,59.5,0.884472049689441,0.665546218487395
"Czech Republic",0.87,78.6,16.4,12.3,4.42586014507784,10,0.091,0.698970004336019,0.690196080028514,18.9,99.9,99.7,51.1,68.3,1.00200601805416,0.748169838945827
"Greece",0.865,80.9,17.6,10.3,4.3895913074552,14,0.146,0.698970004336019,1.07554696139253,21,59.5,67,44.2,62.5,0.888059701492537,0.7072
