"country","HDI","GII","matMort_log","adolBirthRate","reprParl","eduRatio","labRatio","eduRatioT","eduIneq"
"Norway",0.944,0.067,0.602059991327962,7.8,39.6,1.00723888314374,0.890829694323144,5,0.00723888314373999
"Australia",0.935,0.11,0.778151250383644,12.1,30.5,0.996828752642706,0.818941504178273,4,0.00317124735729402
"Switzerland",0.93,0.028,0.778151250383644,1.9,28.5,0.98343685300207,0.825100133511348,4,0.01656314699793
"Denmark",0.923,0.048,0.698970004336019,5.1,38,0.988612836438924,0.884036144578313,4,0.0113871635610761
"Netherlands",0.922,0.062,0.778151250383644,6.2,36.9,0.969060773480663,0.828611898016997,4,0.030939226519337
"Germany",0.916,0.041,0.845098040014257,3.8,36.9,0.992783505154639,0.807228915662651,4,0.00721649484536102
"Ireland",0.916,0.113,0.954242509439325,8.2,19.9,1.02417302798982,0.779735682819383,5,0.02417302798982
"United States",0.915,0.28,1.44715803134222,31,19.4,1.00316455696203,0.817126269956459,5,0.00316455696203
"Canada",0.913,0.129,1.04139268515823,14.5,28.2,1,0.867605633802817,4,0
"New Zealand",0.913,0.157,0.903089986991944,25.3,31.4,0.99685204616999,0.840108401084011,4,0.00314795383000999
"Singapore",0.912,0.088,0.778151250383644,6,25.3,0.914814814814815,0.761658031088083,3,0.085185185185185
"Sweden",0.907,0.055,0.602059991327962,6.5,43.6,0.990836197021764,0.888070692194403,4,0.00916380297823605
"United Kingdom",0.907,0.177,0.903089986991944,25.8,23.5,0.998998998998999,0.810771470160116,4,0.00100100100100098
"Iceland",0.899,0.087,0.602059991327962,11.5,41.3,0.993449781659389,0.910852713178295,4,0.00655021834061098
"Korea (Republic of)",0.898,0.125,1.43136376415899,2.2,16.3,0.864197530864198,0.694868238557559,2,0.135802469135802
"Israel",0.894,0.101,0.301029995663981,7.8,22.5,0.966781214203895,0.837916063675832,3,0.033218785796105
"Luxembourg",0.892,0.1,1.04139268515823,8.3,28.3,1,0.784829721362229,4,0
"Japan",0.891,0.133,0.778151250383644,5.4,11.6,1.01398601398601,0.693181818181818,5,0.01398601398601
"Belgium",0.89,0.063,0.778151250383644,6.7,42.4,0.934861278648975,0.801011804384486,3,0.0651387213510251
"France",0.888,0.088,1.07918124604762,5.7,25.7,0.9375,0.823051948051948,3,0.0625
"Austria",0.885,0.053,0.602059991327962,4.1,30.3,1,0.806499261447563,4,0
"Finland",0.883,0.075,0.602059991327962,9.2,42.5,1,0.8703125,4,0
"Slovenia",0.88,0.016,0.845098040014257,0.6,27.7,0.977551020408163,0.82753164556962,4,0.022448979591837
"Spain",0.876,0.095,0.602059991327962,10.6,38,0.913816689466484,0.797872340425532,3,0.086183310533516
"Italy",0.873,0.068,0.602059991327962,4,30.1,0.884472049689441,0.665546218487395,2,0.115527950310559
"Czech Republic",0.87,0.091,0.698970004336019,4.9,18.9,1.00200601805416,0.748169838945827,5,0.0020060180541599
"Greece",0.865,0.146,0.698970004336019,11.9,21,0.888059701492537,0.7072,3,0.111940298507463
"Estonia",0.861,0.164,1.04139268515823,16.8,19.8,1,0.815674891146589,4,0
"Cyprus",0.85,0.124,1,5.5,12.5,0.930232558139535,0.787623066104079,3,0.069767441860465
"Qatar",0.85,0.524,0.778151250383644,9.5,0,1.13050847457627,0.531937172774869,5,0.13050847457627
"Slovakia",0.844,0.164,0.845098040014257,15.9,18.7,0.995979899497487,0.744897959183674,4,0.004020100502513
"Poland",0.843,0.138,0.477121254719662,12.2,22.1,0.928654970760234,0.75346687211094,3,0.071345029239766
"Lithuania",0.839,0.125,1.04139268515823,10.6,23.4,0.944856839872746,0.829123328380386,3,0.055143160127254
"Malta",0.839,0.227,0.954242509439325,18.2,13,0.877237851662404,0.571644042232277,2,0.122762148337596
"Saudi Arabia",0.837,0.284,1.20411998265592,10.2,19.9,0.860597439544808,0.257982120051086,2,0.139402560455192
"Argentina",0.836,0.376,1.83884909073726,54.4,36.8,0.977430555555555,0.633333333333333,4,0.022569444444445
"United Arab Emirates",0.835,0.232,0.903089986991944,27.6,17.5,1.19444444444444,0.505434782608696,5,0.19444444444444
"Chile",0.832,0.338,1.34242268082221,55.3,15.8,0.959424083769633,0.657754010695187,3,0.040575916230367
"Portugal",0.83,0.111,0.903089986991944,12.6,31.3,0.989626556016598,0.829305135951662,4,0.010373443983402
"Hungary",0.828,0.209,1.14612803567824,12.1,10.1,0.991894630192503,0.746666666666667,4,0.00810536980749699
"Bahrain",0.824,0.265,1.34242268082221,13.8,15,1.10311284046693,0.451093210586881,5,0.10311284046693
"Latvia",0.819,0.167,1.11394335230684,13.5,18,0.998989898989899,0.812130177514793,4,0.00101010101010102
"Croatia",0.818,0.149,1.11394335230684,12.7,25.8,0.908119658119658,0.76541095890411,3,0.091880341880342
"Kuwait",0.816,0.387,1.14612803567824,14.5,1.5,0.987566607460036,0.524669073405536,4,0.012433392539964
"Montenegro",0.802,0.171,0.845098040014257,15.2,17.3,0.889123548046463,0.75043630017452,3,0.110876451953537
"Russian Federation",0.798,0.276,1.38021124171161,25.7,14.5,0.968648648648649,0.796373779637378,4,0.031351351351351
"Oman",0.793,0.275,1.04139268515823,10.6,9.6,0.82661996497373,0.351089588377724,2,0.17338003502627
"Romania",0.793,0.333,1.51851393987789,31,12,0.935869565217391,0.750385208012327,3,0.064130434782609
"Uruguay",0.793,0.313,1.14612803567824,58.3,11.5,1.08151093439364,0.723958333333333,5,0.08151093439364
"Bahamas",0.79,0.298,1.56820172406699,28.5,16.7,1.04109589041096,0.873896595208071,5,0.04109589041096
"Kazakhstan",0.788,0.267,1.41497334797082,29.9,20.1,0.964574898785425,0.869062901155327,3,0.035425101214575
"Barbados",0.785,0.357,1.7160033436348,48.4,19.6,1.02052451539339,0.860313315926893,5,0.02052451539339
"Bulgaria",0.782,0.212,0.698970004336019,35.9,20.4,0.971786833855799,0.811864406779661,4,0.028213166144201
"Panama",0.78,0.454,1.92941892571429,78.5,19.3,1.08216432865731,0.599022004889976,5,0.0821643286573099
"Malaysia",0.779,0.209,1.46239799789896,5.7,14.2,0.91304347826087,0.588079470198675,3,0.08695652173913
"Mauritius",0.777,0.419,1.86332286012046,30.9,11.6,0.851724137931034,0.587601078167116,2,0.148275862068966
"Trinidad and Tobago",0.772,0.371,1.92427928606188,34.8,24.7,0.980295566502463,0.701986754966887,4,0.019704433497537
"Serbia",0.771,0.176,1.20411998265592,16.9,34,0.793478260869565,0.730706075533662,2,0.206521739130435
"Cuba",0.769,0.356,1.90308998699194,43.1,48.9,0.942893401015228,0.62,3,0.057106598984772
"Lebanon",0.769,0.385,1.20411998265592,12,3.1,0.956678700361011,0.328631875881523,3,0.043321299638989
"Costa Rica",0.766,0.349,1.57978359661681,60.8,33.3,1.0039603960396,0.589873417721519,5,0.00396039603959997
"Iran (Islamic Republic of)",0.766,0.515,1.36172783601759,31.6,3.1,0.920118343195266,0.22554347826087,3,0.079881656804734
"Venezuela (Bolivarian Republic of)",0.762,0.476,2.04139268515822,83.2,17,1.11417322834646,0.64520202020202,5,0.11417322834646
"Turkey",0.761,0.359,1.30102999566398,30.9,14.4,0.65,0.415254237288136,2,0.35
"Sri Lanka",0.757,0.37,1.46239799789896,16.9,5.8,0.951570680628272,0.46002621231979,3,0.048429319371728
"Mexico",0.756,0.373,1.69019608002851,63.4,37.1,0.919141914191419,0.564455569461827,3,0.080858085808581
"Brazil",0.755,0.457,1.83884909073726,70.8,9.6,1.04198473282443,0.735148514851485,5,0.04198473282443
"Georgia",0.754,0.382,1.61278385671974,46.8,11.3,0.967637540453074,0.752330226364847,3,0.032362459546926
