"country","HDI","GII","matMort","adolBirthRate","reprParl","eduRatio","labRatio"
"Norway",0.944,0.067,4,7.8,39.6,1.00723888314374,0.890829694323144
"Australia",0.935,0.11,6,12.1,30.5,0.996828752642706,0.818941504178273
"Switzerland",0.93,0.028,6,1.9,28.5,0.98343685300207,0.825100133511348
"Denmark",0.923,0.048,5,5.1,38,0.988612836438924,0.884036144578313
"Netherlands",0.922,0.062,6,6.2,36.9,0.969060773480663,0.828611898016997
"Germany",0.916,0.041,7,3.8,36.9,0.992783505154639,0.807228915662651
"Ireland",0.916,0.113,9,8.2,19.9,1.02417302798982,0.779735682819383
"United States",0.915,0.28,28,31,19.4,1.00316455696203,0.817126269956459
"Canada",0.913,0.129,11,14.5,28.2,1,0.867605633802817
"New Zealand",0.913,0.157,8,25.3,31.4,0.99685204616999,0.840108401084011
"Singapore",0.912,0.088,6,6,25.3,0.914814814814815,0.761658031088083
"Sweden",0.907,0.055,4,6.5,43.6,0.990836197021764,0.888070692194403
"United Kingdom",0.907,0.177,8,25.8,23.5,0.998998998998999,0.810771470160116
"Iceland",0.899,0.087,4,11.5,41.3,0.993449781659389,0.910852713178295
"Korea (Republic of)",0.898,0.125,27,2.2,16.3,0.864197530864198,0.694868238557559
"Israel",0.894,0.101,2,7.8,22.5,0.966781214203895,0.837916063675832
"Luxembourg",0.892,0.1,11,8.3,28.3,1,0.784829721362229
"Japan",0.891,0.133,6,5.4,11.6,1.01398601398601,0.693181818181818
"Belgium",0.89,0.063,6,6.7,42.4,0.934861278648975,0.801011804384486
"France",0.888,0.088,12,5.7,25.7,0.9375,0.823051948051948
"Austria",0.885,0.053,4,4.1,30.3,1,0.806499261447563
"Finland",0.883,0.075,4,9.2,42.5,1,0.8703125
"Slovenia",0.88,0.016,7,0.6,27.7,0.977551020408163,0.82753164556962
"Spain",0.876,0.095,4,10.6,38,0.913816689466484,0.797872340425532
"Italy",0.873,0.068,4,4,30.1,0.884472049689441,0.665546218487395
"Czech Republic",0.87,0.091,5,4.9,18.9,1.00200601805416,0.748169838945827
"Greece",0.865,0.146,5,11.9,21,0.888059701492537,0.7072
"Estonia",0.861,0.164,11,16.8,19.8,1,0.815674891146589
"Cyprus",0.85,0.124,10,5.5,12.5,0.930232558139535,0.787623066104079
"Qatar",0.85,0.524,6,9.5,0,1.13050847457627,0.531937172774869
"Slovakia",0.844,0.164,7,15.9,18.7,0.995979899497487,0.744897959183674
"Poland",0.843,0.138,3,12.2,22.1,0.928654970760234,0.75346687211094
"Lithuania",0.839,0.125,11,10.6,23.4,0.944856839872746,0.829123328380386
"Malta",0.839,0.227,9,18.2,13,0.877237851662404,0.571644042232277
"Saudi Arabia",0.837,0.284,16,10.2,19.9,0.860597439544808,0.257982120051086
"Argentina",0.836,0.376,69,54.4,36.8,0.977430555555555,0.633333333333333
"United Arab Emirates",0.835,0.232,8,27.6,17.5,1.19444444444444,0.505434782608696
"Chile",0.832,0.338,22,55.3,15.8,0.959424083769633,0.657754010695187
"Portugal",0.83,0.111,8,12.6,31.3,0.989626556016598,0.829305135951662
"Hungary",0.828,0.209,14,12.1,10.1,0.991894630192503,0.746666666666667
"Bahrain",0.824,0.265,22,13.8,15,1.10311284046693,0.451093210586881
"Latvia",0.819,0.167,13,13.5,18,0.998989898989899,0.812130177514793
"Croatia",0.818,0.149,13,12.7,25.8,0.908119658119658,0.76541095890411
"Kuwait",0.816,0.387,14,14.5,1.5,0.987566607460036,0.524669073405536
"Montenegro",0.802,0.171,7,15.2,17.3,0.889123548046463,0.75043630017452
"Belarus",0.798,0.151,1,20.6,30.1,0.943600867678959,0.793977812995246
"Russian Federation",0.798,0.276,24,25.7,14.5,0.968648648648649,0.796373779637378
"Oman",0.793,0.275,11,10.6,9.6,0.82661996497373,0.351089588377724
"Romania",0.793,0.333,33,31,12,0.935869565217391,0.750385208012327
"Uruguay",0.793,0.313,14,58.3,11.5,1.08151093439364,0.723958333333333
"Bahamas",0.79,0.298,37,28.5,16.7,1.04109589041096,0.873896595208071
"Kazakhstan",0.788,0.267,26,29.9,20.1,0.964574898785425,0.869062901155327
"Barbados",0.785,0.357,52,48.4,19.6,1.02052451539339,0.860313315926893
"Bulgaria",0.782,0.212,5,35.9,20.4,0.971786833855799,0.811864406779661
"Panama",0.78,0.454,85,78.5,19.3,1.08216432865731,0.599022004889976
"Malaysia",0.779,0.209,29,5.7,14.2,0.91304347826087,0.588079470198675
"Mauritius",0.777,0.419,73,30.9,11.6,0.851724137931034,0.587601078167116
"Trinidad and Tobago",0.772,0.371,84,34.8,24.7,0.980295566502463,0.701986754966887
"Serbia",0.771,0.176,16,16.9,34,0.793478260869565,0.730706075533662
"Cuba",0.769,0.356,80,43.1,48.9,0.942893401015228,0.62
"Lebanon",0.769,0.385,16,12,3.1,0.956678700361011,0.328631875881523
"Costa Rica",0.766,0.349,38,60.8,33.3,1.0039603960396,0.589873417721519
"Iran (Islamic Republic of)",0.766,0.515,23,31.6,3.1,0.920118343195266,0.22554347826087
"Venezuela (Bolivarian Republic of)",0.762,0.476,110,83.2,17,1.11417322834646,0.64520202020202
"Turkey",0.761,0.359,20,30.9,14.4,0.65,0.415254237288136
"Sri Lanka",0.757,0.37,29,16.9,5.8,0.951570680628272,0.46002621231979
"Mexico",0.756,0.373,49,63.4,37.1,0.919141914191419,0.564455569461827
"Brazil",0.755,0.457,69,70.8,9.6,1.04198473282443,0.735148514851485
"Georgia",0.754,0.382,41,46.8,11.3,0.967637540453074,0.752330226364847
"Azerbaijan",0.751,0.303,26,40,15.6,0.962012320328542,0.903735632183908
"Jordan",0.748,0.473,50,26.5,11.6,0.885350318471338,0.234234234234234
"The former Yugoslav Republic of Macedonia",0.747,0.164,7,18.3,33.3,0.723021582733813,0.638518518518518
"Ukraine",0.747,0.286,23,25.7,11.8,0.956204379562044,0.795216741405082
"Algeria",0.736,0.413,89,10,25.7,0.861290322580645,0.210526315789474
"Peru",0.734,0.406,89,50.7,22.3,0.851739788199697,0.808056872037915
"Albania",0.733,0.217,21,15.3,20.7,0.930602957906712,0.685496183206107
"Armenia",0.733,0.318,29,27.1,10.7,0.989473684210526,0.746556473829201
"Bosnia and Herzegovina",0.733,0.201,8,15.1,19.3,0.643266475644699,0.595113438045375
"Ecuador",0.732,0.407,87,77,41.6,1.01776649746193,0.66142684401451
"China",0.727,0.191,32,8.6,23.6,0.816411682892907,0.816091954022989
"Fiji",0.727,0.418,59,42.8,14,0.995348837209302,0.520833333333333
"Mongolia",0.727,0.325,68,18.7,14.9,1.01426872770511,0.816738816738817
"Thailand",0.726,0.38,26,41,6.1,0.875,0.796778190830235
"Libya",0.724,0.134,15,2.5,16,1.32458233890215,0.392670157068063
"Tunisia",0.721,0.24,46,4.6,31.3,0.711496746203904,0.354019746121298
"Colombia",0.72,0.429,83,68.5,20.9,1.02338129496403,0.700125470514429
"Jamaica",0.719,0.43,80,70.1,16.7,1.05413105413105,0.791255289139633
"Tonga",0.717,0.666,120,18.1,0,0.990939977349943,0.7171581769437
"Belize",0.715,0.426,45,71.4,13.3,1.00791556728232,0.597812879708384
"Dominican Republic",0.715,0.477,100,99.6,19.1,1.04708097928437,0.652671755725191
"Suriname",0.714,0.463,130,35.2,11.8,0.94692144373673,0.588662790697674
"Maldives",0.706,0.243,31,4.2,5.9,0.834862385321101,0.725161290322581
"Samoa",0.702,0.457,58,28.3,6.1,1.07166666666667,0.402397260273973
"Botswana",0.698,0.48,170,44.2,9.5,0.944801026957638,0.881127450980392
"Moldova (Republic of)",0.693,0.248,21,29.3,20.8,0.968944099378882,0.850678733031674
"Egypt",0.69,0.573,45,43,2.2,0.724422442244224,0.316844919786096
"Gabon",0.684,0.514,240,103,16.2,1.49307479224377,0.859327217125382
"Indonesia",0.684,0.494,190,48.3,17.1,0.810975609756098,0.610451306413302
"Paraguay",0.679,0.472,110,67,16.8,0.855813953488372,0.65683962264151
"Philippines",0.668,0.42,120,46.8,27.1,1.03453689167975,0.641154328732748
"El Salvador",0.666,0.427,69,76,27.4,0.844036697247706,0.605063291139241
"South Africa",0.666,0.407,140,50.9,40.7,0.957839262187088,0.735537190082645
"Viet Nam",0.666,0.308,49,29,24.3,0.834269662921348,0.888077858880779
"Bolivia (Plurinational State of)",0.662,0.444,200,71.9,51.8,0.805414551607445,0.793572311495674
"Kyrgyzstan",0.655,0.353,75,29.3,23.3,0.976239669421488,0.70440251572327
"Iraq",0.654,0.539,67,68.7,26.5,0.553784860557769,0.213467048710602
"Guyana",0.636,0.515,250,88.5,31.3,1.26150627615063,0.529192546583851
"Nicaragua",0.631,0.449,100,100.8,39.1,1.02872062663185,0.590286425902864
"Morocco",0.628,0.525,120,35.8,11,0.685430463576159,0.349604221635884
"Namibia",0.628,0.401,130,54.9,37.7,0.968023255813953,0.858712715855573
"Guatemala",0.627,0.533,140,97.2,13.3,0.943965517241379,0.558956916099773
"Tajikistan",0.624,0.357,44,42.8,15.2,1.04276315789474,0.763942931258106
"India",0.609,0.563,190,32.8,12.2,0.477031802120141,0.337922403003755
"Honduras",0.606,0.48,120,84,25.8,1.08527131782946,0.516284680337756
"Bhutan",0.605,0.457,120,40.9,8.3,0.985507246376812,0.863989637305699
"Syrian Arab Republic",0.594,0.533,49,41.6,12.4,0.728395061728395,0.185694635488308
"Congo",0.591,0.593,410,126.7,11.5,0.84468085106383,0.938356164383562
